Comment,Designator,Footprint,LCSC
"100uF","C10","CASE-D_7343","C122321"
"47uF","C6,C13,C17","CASE-B_3528","C147768"
"1uF","C2","0805","C116352"
"4.7uF","C3","0805","C92762"
"100nF","C1,C5,C7,C11,C12,C14,C15,C16,C18","0603","C187860"
"10uF","C4,C8","0805","C40894"
"2.2uF","C9","0805","C106842"
"Green","D1","0603","C72043"
"Orange","D2","0603","C108553"
"SHOU_HAN_TYPE-C_6P","J2","SMD","C456012"
"2-pin JST PH","J3","SMD","C47647"
"4-pin JST SH","J4","SMD,P=1mm","C145956"
"Stepper_Focus","J5","Through Hole,P=2.5mm","C157925"
"Stepper_Azimuth","J6","Through Hole,P=2.5mm","C157925"
"Stepper_Altitude","J7","Through Hole,P=2.5mm","C157925"
"10uH","L1","SMD,6x6x4.5mm","C360734"
"1.1k","R1","0603","C22764"
"390k","R10","0603","C307295"
"0.75","R11,R14","0603","C158878"
"1.85Meg","R12","0603","C61679"
"200k","R13","0603","C22949"
"220m","R16,R17,R19,R20","0603","C20686"
"1k","R2,R7,R8,R15,R18","0603","C101253"
"1.5k","R3","0603","C114680"
"5k1","R4,R5","0603","C23186"
"10k","R6,R21","0603","C99198"
"2.1M","R9","0603","C166860"
"SW_SPDT","SW1","SMD","C221660"
"BQ24074RGT","U1","	QFN-16_3x3x05P","C54313"
"TMC2300","U2,U3,U5","QFN20","C516356"
"TPS61090","U4","QFN-16_4x4x065P","C206167"